num,dep,arr
5810,VTR,KSR
5813,KSR,SCR
5814,SCR,KSR
5831,YMR,HFR
5832,HFR,YMR
5833,YMR,HFR
5834,HFR,YMR
5835,YMR,HFR
5836,HFR,YMR
6025,MCN,JJG
6026,JJG,MCN
6029,CDP,CID
6030,CID,CDP
6031,VVP,TYV
6032,TYV,VVP
6033,VVP,TNV
6034,TYV,VVP
6043,HDP,CBF
6044,CBF,HDP
6045,LFV,HCY
6046,HCY,LFV
6055,DTV,BTC
6056,BTC,DTV
6061,UMW,KMM
6062,KMM,UMW
6063,BJY,GYW
6064,GYW,BJY
6065,AKY,RXW
6066,RXW,AKY
6067,GYW,LZJ
6068,LZJ,GYW
6071,PIJ,BJY
6072,BJY,PIJ
6073,BJY,PIJ
6074,PIJ,BJY
6161,PRW,KMM
6162,KMM,PRW
6215,HNB,JMB
6216,JMB,HNB
6217,HNB,JMB
6218,JMB,HNB
6223,MDB,DFB
6224,DFB,MDB
6231,WCB,HBB
6232,XFB,WCB
6233,WCB,VBB
6234,VBB,WCB
6237,TVX,HRX
6238,HRX,TVX
6239,HRX,TVX
6240,TVX,HRX
6245,QHX,GRX
6246,GRX,QHX
6251,MDB,JXB
6252,JXB,MDB
6253,VBB,SHB
6254,SHB,YPB
6255,SHB,YPB
6259,QHX,FRX
6260,FRX,SFX
6261,SFX,FRX
6262,FRX,SFX
6263,SFX,FRX
6264,FRX,TCX
6265,TCX,FRX
6266,FRX,QHX
6271,WPB,JMB
6272,JMB,WPB
6273,JMB,WPB
6274,WPB,JMB
6276,QHX,TLX
6277,TLX,QHX
6278,QHX,TLX
6279,SFX,QHX
6280,QHX,SFX
6285,CDB,MDB
6286,MDB,CDB
6287,MDB,CDB
6288,CDB,MDB
6335,GLT,CCT
6336,CCT,GLT
6337,CCT,TPT
6338,DHT,CCT
6365,MJT,SYT
6366,SYT,MJT
6397,APT,BXT
6398,BXT,APT
6419,TAP,CDP
6420,CDP,TAP
6423,HDP,UTP
6424,UTP,HDP
6433,EXP,CDP
6434,CDP,EXP
6435,CDP,PQP
6436,PQP,CDP
6437,BXP,DFP
6438,DFP,BXP
6455,CDP,PQP
6456,PQP,CDP
6851,BDC,WXC
6852,WXC,BDC
6853,BDC,BEC
6854,BEC,BDC
6855,RLC,HHC
6856,HHC,RLC
6857,HHC,RLC
6858,RLC,HHC
6905,XXF,CBF
6906,CBF,XXF
6907,CBF,XXF
6908,XXF,CBF
6967,YCB,WPB
6968,WPB,YCB
7001,XAY,HCY
7002,HCY,XAY
7003,HCY,XAY
7004,XAY,HCY
7005,ALY,XAY
7006,ALY,XAY
7007,ALY,XAY
7008,XAY,ALY
7053,ZBK,TAK
7054,TAK,ZBK
7265,DIQ,HHQ
7266,HHQ,LEQ
7267,LEQ,DIQ
7269,HHQ,TBQ
7270,TBQ,HHQ
7273,AEQ,HHQ
7274,XLQ,AEQ
7275,HHQ,XLQ
7451,HEM,KMM
7452,KMM,HEM
7453,KMM,HEM
7454,HEM,KMM
7501,LXJ,LZJ
7502,LZJ,LXJ
7503,ZIJ,LXJ
7504,LXJ,ZIJ
7505,LZJ,WWJ
7506,WWJ,LZJ
7507,WWJ,JGJ
7508,JGJ,WWJ
7509,GNJ,LZJ
7510,LZJ,GNJ
7511,YIJ,CQJ
7512,CQJ,YIJ
7513,CQJ,YIJ
7514,YIJ,CQJ
7515,BXJ,CZJ
7516,CZJ,BXJ
7519,ZWJ,WUJ
7520,WUJ,ZWJ
7521,LWJ,JVJ
7522,JVJ,LWJ
7523,RQJ,YIJ
7524,YIJ,RQJ
7525,YIJ,RQJ
7526,RQJ,YIJ
7529,JGJ,JVJ
7530,JVJ,JGJ
7531,YIJ,ZWJ
7532,ZWJ,YIJ
7533,ZWJ,YIJ
7534,YIJ,ZWJ
7535,JGJ,DHJ
7536,DHJ,JGJ
7537,DHJ,JGJ
7551,HMR,WAR
7552,WAR,HMR
7553,DHR,HMR
7554,HMR,DHR
7555,KSR,WAR
7556,WAR,KSR
7557,WAR,KSR
7558,KSR,WAR
7559,WAR,ZER
7560,ZER,WAR
7563,LZJ,LQJ
7564,LQJ,LZJ
7565,LZJ,LQJ
7566,LQJ,LZJ
7581,XNO,GRO
7582,GRO,XNO
8161,XGV,YPV
8162,YPV,XGV
8163,XGV,YPV
8164,YPV,XGV
8165,LFV,FLV
8166,FLV,LFV
8171,YCV,QVV
8172,QVV,YCV
8187,CGV,DTV
8188,DTV,CGV
8323,GXN,XUN
8324,XUN,GXN
8331,HVN,MCN
8332,MCN,HVN
8351,WNY,XAY
8352,XAY,WNY
8353,WNY,XAY
8354,XAY,WNY
8355,XAY,YNY
8356,YNY,XAY
8357,YNY,XAY
8358,XAY,YNY
8361,HOY,YAY
8362,YAY,HOY
8375,XAY,CWY
8376,CWY,XAY
8815,JXV,YYV
8816,YYV,JXV
8817,LVV,TYV
8818,TYV,LVV
8819,NWV,KLV
8820,KLV,NWV
8821,XXV,HBV
8822,HBV,XXV
8823,DTV,NWV
8824,NWV,DTV
8833,NWV,KLV
8834,KLV,NWV
8845,LFV,YNV
8849,LFV,HMV
8850,HMV,LFV
C1035,YXL,HUL
C1036,HUL,YXL
C1051,CCT,YXL
C1052,YXL,CCT
C1053,CCT,YXL
C1054,YXL,CCT
C1055,CRT,YXL
C1056,YXL,CCT
C1057,CCT,YXL
C1058,YXL,CRT
C1101,TLD,SYT
C1103,SOT,TLD
C1105,TLD,SOT
C1107,SYT,TLD
C1109,TLD,SOT
